energies,resolution
794.3282347242813,0.15553819670272304
930.0761727886355,0.15844301791659382
1089.0229622637294,0.1526764134189514
1275.1332063284533,0.1474353689377662
1493.0490450831462,0.14485006939814046
1748.205944257631,0.13740174518656204
2046.96827180752,0.13010934026124138
2396.788044080224,0.12569060394831144
2806.3908011496897,0.12022066084652129
3285.9932476006543,0.1171735457321692
3847.5580873674458,0.1125649843436002
4505.092408962165,0.10132020153600843
5274.99706370262,0.09966679869941109
6176.475751466637,0.09742372138214388
7232.014017781834,0.09481090801226408
8467.9401098553,0.09223310047738979
9915.081680951906,0.0894590108981934
11609.534723271463,0.08430196189062811
13593.563908785241,0.0832121732925298
15916.656795196554,0.08374670745189056
18636.75819204029,0.08599610807906646
21821.71547566444,0.0847028938525956
25550.97090352507,0.0805477612044658
29917.5431391196,0.08189208030417995
35030.34741265335,0.0810391986067349
41016.91218911042,0.08747040106635902
48026.56010546715,0.08591991746519324
56234.13251903491,0.08492238168281505
65844.3505681847,0.0855299375018527
77096.92152321334,0.08594875975267334
90272.51779484579,0.08245427297929625
105699.7777345375,0.0827650842559758
123763.50284724814,0.08374178750947595
144914.25587942198,0.08616483871274787
169679.59918688968,0.07814037384880672
198677.25370083464,0.08804015785478829
232630.50671536286,0.08271910923701778
272386.25281248806,0.08132275079496713
318936.11791857425,0.08730457073708771
373441.193388698,0.08829025507552335
437260.9970601657,0.08852115986663917
511987.38364956365,0.0882679244113269
599484.2503189408,0.08727720730074116
701934.0277854303,0.08161073155211815
821892.1166001295,0.08558837461453625
962350.6263980888,0.08675462055703964
1126813.0079648555,0.09027526222462057
1319381.4396641462,0.0868008030479683
1544859.147902673,0.09094564067729993
1808870.2138072362,0.0898687688977111
2117999.854447029,0.0955101157239944
2479958.677629971,0.09253206012418215
2903775.0072735064,0.09734576176977978
3400020.076513693,0.10686254152432548
3981071.7055349695,0.10786040032386889
