quantiles,cov_base_1TeV,cov_base_10TeV,cov_base_500TeV,cov_sys_1TeV,cov_sys_10TeV,cov_sys_500TeV
0.01,0.021352572383773295,0.022194046884199785,0.022538246583533258,0.018414495719866288,0.018231067960147812,0.016157992764648518
0.04413793103448276,0.0830274756576366,0.08914474159402813,0.08186294602388632,0.07874067998475284,0.07599236605346649,0.06075313994529596
0.07827586206896552,0.14165362570995046,0.14929372894621587,0.1431154433564104,0.1308252443675993,0.12969472745490904,0.10388929902729001
0.11241379310344828,0.1958421651469674,0.2006123187918608,0.19436933472638543,0.1793058584863542,0.1774632581267513,0.14155663020064035
0.14655172413793105,0.2430771739132668,0.24755756429505024,0.2522424809782399,0.22401475373832674,0.21977455062782258,0.1795405043053836
0.1806896551724138,0.291719944812392,0.2898584139692087,0.3064827104299497,0.26603903316661226,0.26344211784374394,0.21381134691456688
0.21482758620689657,0.33435321481935265,0.32696030336065374,0.3512563047715109,0.30685552687192685,0.30227957252724674,0.2511581628604315
0.24896551724137933,0.37413694744579795,0.3688923963153255,0.3785129486022203,0.341755036109097,0.3400309492132519,0.2837292576460346
0.2831034482758621,0.4116440913547184,0.4052170994920528,0.4202230166678728,0.3796418816566332,0.37633895935398076,0.31759651238732756
0.31724137931034485,0.451163580502436,0.4412198143724334,0.4525737906119544,0.412952467286676,0.40854421528964757,0.3508799267633943
0.3513793103448276,0.48809023719179945,0.4772292131547264,0.48891744189258535,0.4475514112889334,0.4421892712826926,0.38140131846755615
0.38551724137931037,0.518564087007908,0.5108742244891434,0.5256455679850294,0.4787967542831408,0.4733768245785964,0.41338960996987345
0.41965517241379313,0.5476120214670682,0.5403573984730924,0.5555213221289709,0.5128970135449687,0.5026082428136003,0.44415741601217473
0.4537931034482759,0.5773402994868209,0.5728044804001351,0.5955637966595022,0.5456560342529017,0.5342493832432307,0.4746787752790561
0.48793103448275865,0.6068546997576267,0.6024704025867612,0.6159574839493386,0.5751119331542595,0.5627471925854324,0.5056224179022781
0.5220689655172415,0.6338490576001509,0.6319349556291357,0.6402446042083166,0.6032551924927503,0.5895415775903905,0.5325930100917715
0.5562068965517242,0.6594116739018544,0.6574047696111456,0.672607352709461,0.6299981792585435,0.6165348983539876,0.559339802681416
0.5903448275862069,0.6842934765212204,0.6835769893804089,0.7101837631397778,0.6553497874537284,0.6449036179946426,0.585696140777269
0.6244827586206897,0.7094925068571678,0.7083490884159557,0.7299487098149658,0.6805003008545172,0.6738184716702299,0.6186731845474647
0.6586206896551725,0.7326525061228956,0.732728646850038,0.7575667613270446,0.706684079423221,0.6984649096057841,0.6467849995622883
0.6927586206896552,0.7563028924292059,0.7570599463242731,0.7783576584419776,0.7299387096816449,0.7249363470598565,0.6746673295106698
0.7268965517241379,0.7835410859329048,0.7817376930944548,0.804198370332788,0.7550477667134239,0.7490780468294157,0.6998748636436173
0.7610344827586207,0.8093624211056025,0.8034394985221298,0.8222810058501373,0.7774773305779297,0.7728696975010747,0.7270186038036669
0.7951724137931035,0.8312070565671758,0.8285733675485744,0.8448119098961445,0.8027610190258008,0.797264277609961,0.7596277357961269
0.8293103448275863,0.8550571422601201,0.8510837118577451,0.8764938678628941,0.8259020695462618,0.8235420801649217,0.786616809949308
0.863448275862069,0.8747208856816149,0.8748650035188648,0.9036901242979961,0.8497161574647576,0.8466844917388962,0.8176159244786345
0.8975862068965518,0.8974462273957574,0.8978679739172523,0.9257563235557295,0.8752458183968489,0.8729727313025084,0.8517041251742292
0.9317241379310346,0.9245599257814875,0.9228406974836288,0.9449297836961124,0.9038814719871929,0.9028415495690836,0.8831532910463653
0.9658620689655173,0.9512053752864292,0.9470720582174647,0.9588679875871263,0.9357491701823131,0.9359027537767387,0.9256798326050523
1.0,1.0000000000000022,1.0000000000000002,1.0000000000000022,0.9999999999999972,1.0000000000000027,1.0000000000000033
