SpaceIndependentCR_x,SpaceIndependentCR_y,SpaceDependentCR_x,SpaceDependentCR_y
0.0109722808,5.60348684384132E-05,0.0109722808,5.60221281449437E-05
0.0159306025,5.48237479304406E-05,0.0142203999,5.52032407659721E-05
0.0204520602,5.44757627729663E-05,0.0191302762,0.000055591
0.0262568078,5.38156349249978E-05,0.0234380531,5.57576784314389E-05
0.0337090713,5.35781915334139E-05,0.0281082729,5.60558911175297E-05
0.0431673751,5.30796844118114E-05,0.0369150194,5.586839097436E-05
0.0550760311,5.3325205646543E-05,0.0530919108,5.64751540454087E-05
0.0713282181,5.42037591320747E-05,0.0681605707,5.73464355981351E-05
0.0915727459,5.43220896403733E-05,0.08750605,5.82759107314111E-05
0.117563119,5.51196137803688E-05,0.111494878,5.95918866502988E-05
0.1533007047,0.000056421,0.1332059213,6.10185725417507E-05
0.1990168605,5.77028796062415E-05,0.1810041736,6.29173671643374E-05
0.2850822362,6.02224475325998E-05,0.2404305051,6.66234816727562E-05
0.4100109081,6.37406620506729E-05,0.3148658062,7.00406682998986E-05
0.5330651821,6.6332434716795E-05,0.4123456626,7.47942978892435E-05
0.6757796906,6.91314149450052E-05,0.5124208274,7.77948136264098E-05
0.8675809312,7.20145263967785E-05,0.6038187481,8.03788716454611E-05
1.1138196111,7.48191071169077E-05,0.7688858027,8.4552392621366E-05
1.429946281,7.76092671931534E-05,1.0577827984,9.03565420432732E-05
1.8357967002,0.000080589,1.3510129956,9.49477433013665E-05
2.3568364555,8.38163717725752E-05,1.8567636447,0.000101244
3.0257588311,8.68498391745343E-05,2.4663664497,0.0001075085
3.8845361896,8.98499478534174E-05,3.3135278341,0.0001138755
4.987053579,9.27073974395606E-05,4.5025203189,0.0001206195
6.4024898176,0.000095605,6.0490712573,0.0001274969
8.2196582041,9.86978084255497E-05,8.2196582041,0.0001338704
10.5525792179,0.0001014053,11.0429925165,0.0001412087
13.5476348754,0.0001037456,15.0055471618,0.0001483913
17.3927536508,0.0001062527,20.1597366824,0.0001551826
22.3292022806,0.0001076716,27.3936506889,0.0001608254
28.6667243439,0.0001092833,38.2517990756,0.0001659136
36.8029755064,0.0001098648,49.6693832569,0.0001682355
47.2484749172,0.0001098065,71.1117237377,0.0001690763
60.6586383651,0.0001094381,96.6287283732,0.0001672534
77.8749031532,0.0001076882,132.8016166097,0.0001670095
99.9775251237,0.0001055783,182.515797021,0.0001626008
128.3533606481,0.0001031418,245.2073468988,0.0001536803
164.7828866465,9.9328279127731E-05,322.5573898398,0.0001386419
211.5519188158,9.38955896137789E-05,408.7664489087,0.0001225117
271.5950379644,8.62985734164891E-05,484.6808157067,0.0001100252
340.849463734,7.80083815627284E-05,581.2573495648,9.60626472804445E-05
418.1569511385,6.86521255601692E-05,689.2059929935,8.42891412178266E-05
501.4780722576,6.0524501036543E-05,826.5358062655,7.38723163472456E-05
587.895988041,0.000053587,980.0365217377,6.4309718763479E-05
697.0775311798,4.71292386314397E-05,1188.7401369975,5.64114081912732E-05
826.5358062655,4.1449708714666E-05,1469.439325188,4.89993256242409E-05
968.9697543269,3.66374600502122E-05,1922.5453187845,4.25942777241182E-05
1148.9226969975,3.22021460213909E-05,2515.3678953754,3.73157650043261E-05
1393.5914569865,0.000028271,3185.5756925418,3.42674708726917E-05
1709.6695661543,2.47675128304167E-05,3979.7509681582,3.2061482584949E-05
2121.3919944251,2.17474981434178E-05,4971.9169460131,3.01379085957449E-05
2692.7358271704,1.92437868763173E-05,6604.270382399,2.81703451572293E-05
3456.9938826474,1.7187181074116E-05,9042.2795526585,2.64556212220856E-05
4438.1652979378,1.55471063912294E-05,,
5697.8148878687,1.41608832018505E-05,,
7314.9809250014,1.29462581362991E-05,,
9180.2388740184,1.20491572606635E-05,,
